bird_id,bird_model_id,start_odometer,end_odometer,start_timestamp,end_timestamp,rider_id,rider_age,ride_rating,ride_neighborhood,ride_triggered_maintenance
147,1,0,5.9,1522593472,1522595344,65,28,1,pasadena,FALSE
121,1,0,29.33,1522598723,1522605721,43,36,4,west hollywood,FALSE
367,1,0,17.45,1522629261,1522631447,67,38,5,culver city,TRUE
243,1,0,26.67,1522591864,1522602578,89,24,4,venice,FALSE
302,1,0,30.52,1522576415,1522581535,29,54,5,culver city,TRUE
7,2,0,25.89,1522602392,1522608265,72,18,2,brentwood,FALSE
156,2,0,17.97,1522550576,1522560832,69,49,4,playa vista,FALSE
471,2,0,29.54,1522577512,1522596453,15,21,5,echo park,FALSE
288,1,0,11.85,1522552980,1522554413,71,64,4,ucla,FALSE
419,1,0,39.41,1522613102,1522618037,73,20,4,brentwood,FALSE
165,2,0,23.33,1522620323,1522627541,53,45,4,venice,TRUE
110,1,0,29.82,1522612021,1522616257,56,31,3,venice,FALSE
210,2,0,40.78,1522571218,1522582797,87,44,5,playa vista,FALSE
400,1,0,30.58,1522621043,1522625141,54,37,4,santa monica,FALSE
29,2,0,21.72,1522574628,1522582506,8,33,5,santa monica,TRUE
14,1,0,38.19,1522620793,1522626944,90,40,4,pasadena,FALSE
55,1,0,24.03,1522585893,1522594683,55,64,2,venice,FALSE
449,1,0,44.92,1522623812,1522645408,34,36,3,downtown,FALSE
19,2,0,27.42,1522548381,1522553266,80,35,1,ucla,TRUE
375,1,0,40.9,1522576564,1522582146,67,38,1,pasadena,TRUE
41,2,0,9.25,1522609070,1522610194,61,45,1,pasadena,TRUE
202,1,0,6.66,1522585377,1522587574,66,36,2,hollywood,FALSE
202,1,6.66,31.23,1522588381,1522601109,69,49,4,santa monica,FALSE
383,2,0,42.36,1522603641,1522613992,69,49,5,echo park,FALSE
190,1,0,4.85,1522580189,1522581133,47,41,5,culver city,FALSE
126,2,0,28.67,1522599046,1522602809,41,31,5,west hollywood,FALSE
464,1,0,24.35,1522593632,1522597424,50,30,5,culver city,FALSE
343,2,0,26.98,1522608971,1522615354,49,29,5,venice,FALSE
165,2,23.33,64.25,1522630972,1522636366,38,48,3,hollywood,FALSE
107,1,0,38.05,1522596680,1522602610,17,27,5,west hollywood,FALSE
64,1,0,43.59,1522547977,1522555982,49,29,2,hollywood,TRUE
238,2,0,29.53,1522563973,1522577746,99,54,5,ucla,FALSE
98,1,0,41.34,1522594034,1522616065,78,55,5,downtown,FALSE
57,1,0,2.31,1522559788,1522560131,28,51,4,echo park,FALSE
222,2,0,20.06,1522603250,1522607833,85,59,5,pasadena,FALSE
339,1,0,16.71,1522615596,1522618447,20,60,3,santa monica,FALSE
498,2,0,23.87,1522550595,1522553988,39,29,5,brentwood,TRUE
164,1,0,17.46,1522570108,1522572754,14,41,3,pasadena,FALSE
294,1,0,42.35,1522592138,1522600780,4,56,2,culver city,FALSE
55,1,24.03,66.57,1522598775,1522627813,71,64,5,santa monica,FALSE
131,1,0,11.02,1522616455,1522619082,73,20,5,ucla,FALSE
360,1,0,5.64,1522558850,1522560757,5,56,2,ucla,TRUE
348,1,0,9.42,1522567738,1522574214,33,34,5,pasadena,FALSE
311,1,0,1.69,1522567940,1522568813,51,65,4,downtown,FALSE
103,2,0,44.2,1522615412,1522623506,41,31,3,venice,TRUE
211,1,0,22.64,1522570695,1522573600,66,36,4,playa vista,TRUE
74,1,0,9.26,1522612188,1522613449,39,29,1,hollywood,TRUE
393,1,0,35.2,1522581850,1522588767,21,31,1,culver city,FALSE
255,1,0,12.72,1522547552,1522556556,55,64,3,pasadena,FALSE
130,1,0,19.06,1522559329,1522566324,69,49,5,brentwood,FALSE
314,1,0,43.08,1522596709,1522603035,90,40,4,west hollywood,FALSE
178,1,0,24.47,1522545799,1522559282,25,50,4,west hollywood,FALSE
260,1,0,12.39,1522605017,1522613083,99,54,4,santa monica,FALSE
98,1,41.34,66.02,1522617532,1522623677,9,23,4,santa monica,FALSE
414,1,0,33.1,1522546564,1522557699,40,35,2,culver city,FALSE
424,1,0,32.56,1522594729,1522601682,89,24,4,west hollywood,FALSE
427,2,0,37.91,1522573145,1522582975,62,22,5,echo park,FALSE
255,1,12.72,54.62,1522559867,1522569742,77,55,4,hollywood,FALSE
380,1,0,3.1,1522599083,1522600671,30,24,4,echo park,FALSE
342,2,0,44.12,1522617216,1522628014,22,59,5,pasadena,FALSE
187,1,0,38.44,1522582904,1522590546,88,35,4,playa vista,TRUE
157,2,0,32.95,1522559315,1522563687,17,27,5,hollywood,TRUE
434,1,0,17.91,1522628066,1522636787,84,49,2,pasadena,FALSE
167,1,0,27.48,1522578888,1522583324,43,36,1,downtown,FALSE
273,1,0,7.55,1522609911,1522611850,22,59,1,pasadena,FALSE
277,2,0,11.87,1522621702,1522625658,97,49,5,playa vista,FALSE
76,2,0,42.99,1522552120,1522559352,13,54,5,downtown,TRUE
125,1,0,37.44,1522559659,1522566004,11,64,2,brentwood,FALSE
182,2,0,31.41,1522583642,1522599813,67,38,5,downtown,FALSE
1,1,0,43.5,1522588278,1522594926,80,35,4,ucla,FALSE
368,1,0,8.87,1522568424,1522571182,65,28,2,culver city,FALSE
1,1,43.5,84.42,1522596065,1522613098,0,47,5,santa monica,FALSE
288,1,11.85,21.4,1522557444,1522558644,99,54,5,downtown,FALSE
347,1,0,27.14,1522574900,1522579060,81,18,5,west hollywood,FALSE
181,2,0,15.93,1522550186,1522553496,99,54,5,hollywood,TRUE
342,2,44.12,69.28,1522634785,1522639045,52,55,4,ucla,TRUE
228,1,0,5.77,1522572987,1522575136,88,35,4,venice,FALSE
67,1,0,6.16,1522593157,1522594343,66,36,5,west hollywood,TRUE
396,2,0,10.17,1522618639,1522620081,9,23,4,west hollywood,TRUE
86,1,0,3.45,1522548642,1522549143,31,53,1,santa monica,TRUE
54,2,0,5.05,1522565537,1522566549,35,52,5,brentwood,FALSE
42,2,0,22.57,1522599045,1522609476,12,51,5,playa vista,FALSE
269,1,0,34.47,1522602158,1522611631,49,29,3,brentwood,FALSE
249,1,0,31.91,1522549487,1522557224,73,20,4,playa vista,FALSE
213,2,0,12.83,1522596843,1522598942,94,52,3,ucla,FALSE
59,1,0,11.8,1522607603,1522610503,5,56,4,culver city,FALSE
166,1,0,23.27,1522613174,1522618104,90,40,5,ucla,FALSE
472,2,0,7.79,1522549502,1522550633,75,27,5,brentwood,TRUE
282,1,0,43.92,1522550477,1522576832,26,38,1,playa vista,FALSE
126,2,28.67,34.16,1522604128,1522604917,0,47,1,venice,FALSE
375,1,40.9,71.37,1522585463,1522589985,46,47,1,venice,TRUE
326,2,0,15.05,1522606462,1522608410,74,58,3,west hollywood,FALSE
322,1,0,35.03,1522578418,1522587645,92,42,5,echo park,FALSE
387,2,0,8.85,1522610419,1522613033,54,37,5,santa monica,FALSE
416,2,0,19.06,1522619981,1522625437,77,55,3,venice,TRUE
433,1,0,43.57,1522610058,1522633280,0,47,5,culver city,FALSE
442,1,0,7.68,1522590300,1522592884,28,51,1,santa monica,FALSE
498,2,23.87,65.35,1522555208,1522570849,5,56,5,ucla,FALSE
451,1,0,19.48,1522605203,1522610987,30,24,3,pasadena,FALSE
366,2,0,12.73,1522623936,1522625739,21,31,4,downtown,FALSE
432,1,0,33.67,1522591159,1522595413,22,59,4,downtown,TRUE
126,2,34.16,63.98,1522608832,1522612929,24,21,5,culver city,TRUE
150,1,0,32.44,1522551041,1522570359,80,35,4,downtown,TRUE
206,2,0,5.13,1522551103,1522552344,35,52,4,echo park,FALSE
346,1,0,40.23,1522565963,1522574294,45,33,4,culver city,TRUE
150,1,32.44,38.87,1522573036,1522573897,66,36,5,venice,TRUE
271,2,0,21.52,1522587105,1522590361,58,58,4,downtown,TRUE
184,1,0,28.48,1522625784,1522630344,70,22,2,brentwood,FALSE
3,2,0,1.52,1522563566,1522563867,49,29,5,ucla,TRUE
41,2,9.25,29.82,1522615695,1522618505,88,35,5,west hollywood,TRUE
214,2,0,40.35,1522569973,1522574986,8,33,5,downtown,FALSE
75,2,0,3.98,1522626667,1522629447,7,51,5,playa vista,FALSE
101,2,0,9.86,1522566517,1522572483,96,19,2,hollywood,FALSE
122,2,0,42.79,1522614687,1522627662,79,33,1,west hollywood,TRUE
268,1,0,20.64,1522589732,1522592281,47,41,5,hollywood,FALSE
386,2,0,28.27,1522626191,1522630764,68,59,4,santa monica,TRUE
215,1,0,39.74,1522588712,1522605623,35,52,4,pasadena,TRUE
202,1,31.23,43.21,1522602696,1522604591,7,51,2,santa monica,FALSE
264,2,0,30.83,1522565537,1522574130,93,32,5,echo park,FALSE
353,2,0,1.2,1522593952,1522594142,18,55,5,west hollywood,TRUE
202,1,43.21,53.1,1522605464,1522607339,67,38,2,echo park,TRUE
376,1,0,14.3,1522626296,1522628529,1,47,5,west hollywood,FALSE
327,1,0,6.26,1522571423,1522573002,22,59,5,hollywood,FALSE
319,1,0,33.6,1522563039,1522581710,12,51,4,playa vista,FALSE
240,2,0,36.09,1522620091,1522625254,98,52,5,culver city,FALSE
228,1,5.77,46.81,1522581260,1522609785,10,36,1,venice,FALSE
53,2,0,37.23,1522629905,1522637758,50,30,5,venice,FALSE
116,1,0,23.12,1522601463,1522605795,31,53,5,culver city,TRUE
276,1,0,37.3,1522595635,1522600915,92,42,2,venice,FALSE
235,2,0,21.43,1522588219,1522591836,84,49,5,ucla,TRUE
325,1,0,44.49,1522606212,1522637723,89,24,1,santa monica,FALSE
334,1,0,7.6,1522611895,1522613304,23,36,2,culver city,TRUE
127,1,0,13.89,1522630484,1522636964,21,31,3,downtown,FALSE
13,1,0,9.11,1522553967,1522555930,54,37,4,playa vista,FALSE
5,2,0,18.96,1522624810,1522627239,29,54,5,santa monica,FALSE
325,1,44.49,60.43,1522644666,1522649242,27,53,1,culver city,FALSE
117,1,0,33.76,1522596915,1522620647,49,29,5,downtown,FALSE
293,2,0,20.54,1522595465,1522602947,26,38,4,venice,FALSE
104,1,0,40.41,1522604767,1522633741,89,24,5,pasadena,FALSE
340,1,0,14.85,1522604853,1522607510,30,24,1,echo park,FALSE
10,2,0,23.87,1522575519,1522585752,4,56,5,santa monica,FALSE
332,1,0,43.68,1522600608,1522607264,73,20,5,downtown,TRUE
57,1,2.31,18.31,1522567091,1522571552,52,55,1,venice,FALSE
44,2,0,25.53,1522565688,1522578971,95,64,5,playa vista,FALSE
152,1,0,36.14,1522570343,1522575840,61,45,2,venice,FALSE
53,2,37.23,49.29,1522642303,1522645084,72,18,5,pasadena,FALSE
322,1,35.03,79.06,1522593815,1522603510,95,64,1,ucla,FALSE
10,2,23.87,60.91,1522591144,1522606076,65,28,5,downtown,FALSE
423,2,0,17.96,1522577226,1522581028,75,27,5,west hollywood,FALSE
454,2,0,1.4,1522589079,1522589448,45,33,3,culver city,FALSE
205,2,0,5.47,1522550671,1522551355,61,45,5,ucla,FALSE
160,2,0,2.81,1522548434,1522548804,85,59,4,hollywood,TRUE
319,1,33.6,54.79,1522588398,1522595171,6,55,2,ucla,FALSE
317,1,0,22.57,1522561327,1522568535,75,27,4,west hollywood,FALSE
240,2,36.09,41.59,1522629176,1522630084,63,40,5,santa monica,TRUE
272,1,0,11.29,1522546126,1522549257,6,55,4,pasadena,FALSE
42,2,22.57,25.48,1522612409,1522612795,87,44,5,ucla,TRUE
295,1,0,9.78,1522593014,1522594450,34,36,4,downtown,FALSE
445,2,0,33.74,1522578182,1522584542,18,55,5,echo park,FALSE
